STRUCTURE,STRUCTURE_ID,freq,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,AL,2004,29.62,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,AL,2005,31.367,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,AL,2006,32.07,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,AL,2007,32.657,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,AL,2008,32.448,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,AL,2009,31.437,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,AL,2010,31.867,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,AL,2011,31.187,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,AL,2012,35.152,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,AL,2013,33.167,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,AL,2014,31.856,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,AL,2015,34.913,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,AL,2016,36.953,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,AL,2017,35.776,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,AL,2018,36.572,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,AL,2019,38.042,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,AL,2020,45.015,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,AL,2021,41.389,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,AL,2022,44.076,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,AT,2004,22.553,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,AT,2005,24.353,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,AT,2006,26.276,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,AT,2007,28.144,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,AT,2008,28.788,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,AT,2009,31.039,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,AT,2010,31.205,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,AT,2011,31.552,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,AT,2012,32.734,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,AT,2013,32.665,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,AT,2014,33.55,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,AT,2015,33.497,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,AT,2016,33.37,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,AT,2017,33.136,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,AT,2018,33.784,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,AT,2019,33.755,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,AT,2020,36.545,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,AT,2021,34.573,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,AT,2022,33.758,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,BA,2014,24.873,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,BA,2015,26.607,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,BA,2016,25.358,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,BA,2017,23.241,
dataflow,ESTAT:SDG_07_40(1.0),A,REN,PC,BA,2018,35.972,
